product_id,Column1,type,category , sub_category
P0639,Ready Mix - Chettinad Kara Kulambu (Annapoorna),Blended Masalas,"Foodgrains, Oil & Masala ", Masalas & Spices
P0640,Cheese Macaroni Pazzta (MAGGI ),"Gourd, Pumpkin, Drumstick",Fruits & Vegetables , Fresh Vegetables
P0641,"Hommade Tomato Puree -  Made From 100% Ripe Tomatoes, No Added Preservatives (Dabur)",Bathing Bars & Soaps,Beauty & Hygiene , Bath & Hand Wash
P0642,Baby Corn - Peeled (Fresho),Bathing Bars & Soaps,Beauty & Hygiene , Bath & Hand Wash
P0643,Accel Detergent Cake (Ponvandu),Bathing Bars & Soaps,Beauty & Hygiene , Bath & Hand Wash
P0644,Coriander Powder (Orika),Cookies,Snacks & Branded Foods , Biscuits & Cookies
P0645,Toned Milk (Nandini),Organic Vegetables,Fruits & Vegetables , Fresh Vegetables
P0646,Masala - Fish Curry (Aachi),Organic Vegetables,Fruits & Vegetables , Fresh Vegetables
P0647,Masala - Fish Fry (Aachi),Organic Vegetables,Fruits & Vegetables , Fresh Vegetables
P0649,Corn Twist - Pizza (Makino),"Beans, Brinjals & Okra",Fruits & Vegetables , Fresh Vegetables
P0651,Winkin' Cow Vanillicious Thick Milkshake (Britannia),Cut & Peeled Veggies,Fruits & Vegetables , Fresh Vegetables
P0652,KitKat Chocolate Wafer Bar - 4 Fingers Pack (Nestle ),Cut & Peeled Veggies,Fruits & Vegetables , Fresh Vegetables
P0654,Organic Seeds - Black Mustard/Sasive (Organic Tattva),Cut & Peeled Veggies,Fruits & Vegetables , Fresh Vegetables
P0655,Organic Seeds - Brown Mustard/Sasive (Organic Tattva),Blended Masalas,"Foodgrains, Oil & Masala ", Masalas & Spices
P0656,Fevicol MR Angular Tip (Pidilite),Instant Pasta,Snacks & Branded Foods ," Noodle, Pasta, Vermicelli"
P0657,Haldi Milk (mother dairy),Organic Vegetables,Fruits & Vegetables , Organic Fruits & Vegetables
P0658,Sterilised Double Toned Flavored Milk - Pista (THIRUMALA),Organic Vegetables,Fruits & Vegetables , Organic Fruits & Vegetables
P0659,Dark Fantasy - Choco Fills Biscuits - Cookies (Sunfeast),Organic Vegetables,Fruits & Vegetables , Organic Fruits & Vegetables
P0660,Coke Zero Soft Drink - No Sugar (Coca-Cola),Home Baking,Snacks & Branded Foods , Ready To Cook & Eat
P0661,Bleaching Powder - Strong (Zermisol),Tomato Ketchup & Sauces,Snacks & Branded Foods ," Spreads, Sauces, Ketchup"
P0662,Cornflour (Weikfield),"Notebooks, Files, Folders",Cleaning & Household , Stationery
P0663,Haldi Chandan Soap (Jiva Ayurveda),Fresh Salads & Sprouts,Fruits & Vegetables , Cuts & Sprouts
P0664,Pure Magic Deuce Vanilla Biscuits (Britannia),Cut & Peeled Veggies,Fruits & Vegetables , Cuts & Sprouts
P0665, (),Fresh Salads & Sprouts,Fruits & Vegetables , Cuts & Sprouts
